7092,05月10日20:14,消费6.90元
7092,05月10日20:17,消费16.90元
7092,05月11日18:07,消费282.50元
6298,5月12日14时14分,支出人民币20.80元
6298,5月12日18时14分,收入人民币17080.09元
7092,05月12日19:08,消费499.00元
7092,05月13日11:26,消费89.72元
6298,5月13日14时4分,支出人民币86.60元
7092,05月13日21:50,消费24.60元
7092,05月14日10:13,消费3.30元
7092,05月14日10:29,消费6.00元
6298,5月14日12时26分,支出人民币3638.31元
7092,05月14日21:19,消费20.20元
7092,05月14日21:26,消费37.90元
7092,05月14日,还款3638.31元
7092,05月14日,退货/退税入账7.51元
7092,05月15日12:24,消费14.00元
7092,05月15日15:01,消费13.00元
7092,05月16日20:56,消费1.90元
7092,05月16日21:27,消费10.80元
7092,05月17日09:39,消费69.88元
7092,05月17日16:01,存入99.00元
7092,05月17日16:01,存入65.60元
7092,05月17日16:01,存入617.00元
7092,05月17日16:01,存入34.50元
6298,5月17日16时1分,收入人民币140.00元
7092,05月17日21:13,消费13.00元
7092,05月17日21:15,消费15.79元
7092,05月17日,还款65.6元
7092,05月17日,还款99元
7092,05月17日,还款34.5元
7092,05月17日,还款617元
7092,05月18日19:54,消费15.00元
7092,05月18日21:35,消费132.59元
7092,05月19日10:44,消费33.60元
7092,05月19日10:46,消费10.20元
7092,05月19日18:02,消费15.00元
7092,05月19日20:54,消费51.60元
7092,05月20日14:41,消费34.80元
7092,05月20日16:36,消费3.00元
7092,05月20日16:51,消费12.66元
7092,05月20日17:43,消费41.77元
7092,05月21日09:22,消费78.75元
7092,05月21日09:38,消费119.00元
7092,05月22日17:47,消费3.30元
7092,05月22日20:15,消费15.00元
7092,05月22日21:53,消费12.89元
7092,05月23日17:45,消费33.63元
7092,05月23日19:25,消费33.16元
7092,05月23日20:59,消费15.00元
7092,05月23日21:31,消费11.78元
0392,22年05月23日,收入5552.00元
7092,05月24日12:47,消费63.60元
7092,05月24日19:36,消费26.00元
6298,5月24日20时35分,支出人民币20.94元
6298,5月25日7时19分,支出人民币2.00元
7092,05月25日16时13分,
7092,05月25日18:10,消费21.00元
7092,05月25日20:39,消费398.00元
7092,05月25日21:47,消费94.05元
7092,05月25日22:51,消费151.90元
7092,05月26日07:46,消费32.25元
7092,05月25日,还款500元
7092,05月26日10:36,消费28.83元
7092,05月26日11:34,消费27.47元
7092,05月26日12:55,消费29.17元
6298,5月26日14时2分,支出人民币20.33元
7092,05月26日20:44,消费27.60元
7092,05月26日23:35,消费83.00元
7092,05月27日17:15,消费4.88元
7092,05月27日17:21,消费35.28元
7092,05月27日20:14,消费60.30元
7092,05月27日20:18,消费23.00元
7092,05月28日06:28,消费579.00元
7092,05月28日09:15,消费3.30元
7092,05月28日19:15,消费11.00元
6298,5月28日19时33分,支出人民币12.03元
7092,05月28日20:30,消费476.00元
7092,05月28日21:28,消费23.70元
7092,05月28日21:37,消费5.39元
6298,5月28日23时3分,支出人民币28.06元
7092,05月29日09:44,消费47.81元
7092,05月29日14:49,消费72.00元
6298,5月29日19时57分,支出人民币105.50元
6298,5月29日19时58分,支出人民币105.50元
7092,05月29日20:00,消费282.50元
7092,05月29日21:34,消费31.60元
7092,05月30日20:15,消费342.83元
7092,05月30日21:52,消费4.00元
7092,05月31日06:51,消费32.60元
7092,05月30日,退货/退税入账11.69元
7092,05月31日12:00,消费37.60元
7092,05月31日20:31,消费13.68元
7092,05月31日21:19,消费14.75元
7092,05月31日23:04,消费194.70元
7092,06月01日08:32,消费45.70元
7092,06月01日08:49,消费59.70元
7092,06月01日08:53,消费3.00元
7092,06月01日09:17,消费1.00元
7092,06月01日10:35,消费2000.00元
7092,06月01日13:45,消费1.50元
6298,6月1日16时59分,支出人民币9.21元
6298,6月1日17时41分,支出人民币9.65元
7092,06月01日21:25,消费15.40元
7092,06月01日21:43,消费92.41元
6298,6月2日16时2分,支出人民币137.04元
7092,06月02日21:07,消费10.00元
7092,06月02日21:49,消费20.74元
7092,06月02日22:10,消费129.00元
6298,6月3日8时41分,支出人民币2000.00元
6298,6月3日16时34分,支出人民币4.00元
6298,6月3日16时41分,支出人民币20.00元
6298,6月3日17时53分,支出人民币7.60元
7092,06月03日22:01,消费72.78元
6298,6月4日7时19分,支出人民币47.50元
6298,6月4日7时20分,支出人民币9.50元
6298,6月4日7时21分,支出人民币9.50元
6298,6月4日12时41分,支出人民币31.00元
6298,6月4日13时31分,支出人民币32.05元
7092,06月04日18:48,消费9.90元
7092,06月04日20:16,消费11.00元
6298,6月5日7时19分,支出人民币47.50元
7092,06月05日14:35,消费67.17元
7092,06月05日16:27,消费2.00元
7092,06月06日18:24,消费159.00元
7092,06月06日,退货/退税入账129元
6298,6月7日14时42分,支出人民币55.66元
6298,6月7日21时46分,支出人民币21.32元
7092,06月08日07:58,消费439.00元
7092,06月08日08:02,消费480.15元
7092,06月08日08:10,消费40.20元
6298,6月8日9时50分,支出人民币8.00元
7092,06月08日20:18,消费15.00元
7092,06月09日07:21,消费106.90元
7092,06月08日,退货/退税入账159元
7092,06月09日18:29,消费300.00元
7092,06月09日20:39,消费23.00元
7092,06月09日20:55,消费6.85元
7092,06月09日22:55,消费9.80元
0392,22年05月23日,收入5552.00元
0392,22年05月23日,收入5552.00元
0392,22年05月23日,收入5552.00元
6298,5月24日20时35分,支出人民币20.94元
7092,05月14日,退货/退税入账7.51元
7092,05月30日,退货/退税入账11.69元
7092,06月06日,退货/退税入账129元
7092,06月08日,退货/退税入账159元
